episode_index,joint_torque_mean_1,joint_torque_mean_2,joint_torque_mean_3,joint_torque_mean_4,joint_torque_mean_5,joint_torque_mean_6,joint_torque_mean_7,joint_force_mean_1,joint_force_mean_2,joint_force_mean_3,joint_force_mean_4,joint_force_mean_5,joint_force_mean_6,joint_force_mean_7
0,0.35317218,14.37727,0.46482557,11.9223385,0.14265645,0.8562947,-0.15729643,0.35257766,-0.58321303,0.5071816,-0.058236126,0.18938504,-0.2851217,-0.16529852
1,0.3572154,14.286012,0.48459065,11.973514,0.1633125,0.9191832,-0.24577026,0.35775548,-0.630079,0.5488761,0.0355887,0.17468736,-0.23182516,-0.25749478
2,0.28978965,13.937734,0.40560666,11.767702,0.09918944,0.88636374,-0.18099494,0.2850761,-0.6974013,0.44455537,-0.13955858,0.118430756,-0.26270464,-0.20392288
3,0.28420535,14.119871,0.42441806,11.705373,0.08764824,0.7987527,-0.18896905,0.2854834,-0.6316674,0.4739303,-0.24691425,0.1321826,-0.31423932,-0.22577171
4,0.36648586,13.634867,0.4856774,11.502213,0.086468704,0.9018747,-0.22849569,0.36489698,-0.6616581,0.525548,-0.22023395,0.13183707,-0.27121475,-0.24373205
5,0.22883299,13.316797,0.4289252,11.771598,0.13691628,0.823653,-0.21493942,0.23140101,-0.6740916,0.45573232,-0.17063783,0.17920344,-0.3134363,-0.216505
6,0.36188924,13.903676,0.50223595,11.661014,0.10075869,0.9144304,-0.2236588,0.36243743,-0.7014319,0.5517154,-0.15181343,0.10726342,-0.25339463,-0.18685454
7,0.4193532,13.692458,0.56025714,11.686138,0.032796066,0.8724017,-0.22177453,0.42345786,-0.5951108,0.61078686,-0.12965013,0.08337309,-0.2901331,-0.23466404
8,0.40821114,14.045269,0.5691475,11.625874,0.08473151,0.91475785,-0.24903435,0.4094462,-0.6316671,0.592781,-0.116357386,0.12558876,-0.27735138,-0.26031756
9,0.38560125,13.693846,0.52725315,11.728998,0.092421964,0.8984741,-0.19428612,0.38409355,-0.5616449,0.55718744,-0.027916137,0.12377041,-0.28849453,-0.21985906
10,0.33915403,14.173196,0.49163476,11.904551,0.043846127,0.9158314,-0.20726156,0.34405693,-0.601544,0.51350945,0.018748442,0.10347613,-0.27735308,-0.23127227
11,0.23155248,13.997988,0.42353636,11.703859,0.039992545,0.9171108,-0.22757407,0.2324655,-0.5185356,0.43313897,-0.1280326,0.1128506,-0.23150386,-0.23907274
12,0.39384812,14.1052685,0.52771115,11.651408,-0.003454715,0.8485843,-0.23862706,0.39459035,-0.9286013,0.58642846,-0.1916381,0.06934767,-0.31727237,-0.24301471
